Date,Description,Debit,Credit,Balance
03/07/2023,UPI/GROCERY,177.00,,2023.00
09/07/2023,CASH DEPOSIT,,9398.00,11421.00
10/07/2023,UPI/GROCERY,146.00,,11275.00
12/07/2023,UPI/AIRTEL,199.00,,11076.00
17/07/2023,UPI/GROCERY,113.00,,10963.00
24/07/2023,UPI/GROCERY,166.00,,10797.00
03/09/2023,UPI/GROCERY,171.00,,10626.00
06/09/2023,CASH DEPOSIT,,10061.00,20687.00
10/09/2023,UPI/GROCERY,85.00,,20602.00
15/09/2023,UPI/AIRTEL,199.00,,20403.00
17/09/2023,UPI/GROCERY,132.00,,20271.00
24/09/2023,UPI/GROCERY,196.00,,20075.00
03/11/2023,UPI/GROCERY,39.00,,20036.00
10/11/2023,UPI/GROCERY,151.00,,19885.00
10/11/2023,CASH DEPOSIT,,8187.00,28072.00
16/11/2023,UPI/AIRTEL,199.00,,27873.00
17/11/2023,UPI/GROCERY,119.00,,27754.00
24/11/2023,UPI/GROCERY,82.00,,27672.00
03/01/2024,UPI/GROCERY,50.00,,27622.00
10/01/2024,UPI/GROCERY,115.00,,27507.00
16/01/2024,UPI/AIRTEL,199.00,,27308.00
17/01/2024,UPI/GROCERY,90.00,,27218.00
18/01/2024,CASH DEPOSIT,,10468.00,37686.00
24/01/2024,UPI/GROCERY,89.00,,37597.00
03/03/2024,UPI/GROCERY,95.00,,37502.00
07/03/2024,CASH DEPOSIT,,9333.00,46835.00
10/03/2024,UPI/GROCERY,82.00,,46753.00
11/03/2024,UPI/AIRTEL,199.00,,46554.00
17/03/2024,UPI/GROCERY,138.00,,46416.00
24/03/2024,UPI/GROCERY,45.00,,46371.00
03/05/2024,UPI/GROCERY,69.00,,46302.00
10/05/2024,UPI/GROCERY,108.00,,46194.00
13/05/2024,CASH DEPOSIT,,10790.00,56984.00
14/05/2024,UPI/AIRTEL,199.00,,56785.00
17/05/2024,UPI/GROCERY,67.00,,56718.00
24/05/2024,UPI/GROCERY,147.00,,56571.00
