Date,Description,Debit,Credit,Balance
01/07/2023,NEFT/UBER/SALARY,,15000.00,19500.00
02/07/2023,UPI/MERCHANT,270.00,,19230.00
05/07/2023,UPI/JIO PREPAID,299.00,,18931.00
06/07/2023,UPI/MERCHANT,187.00,,18744.00
10/07/2023,UPI/MERCHANT,93.00,,18651.00
11/07/2023,UPI/FAMILY TRANSFER,2807.00,,15844.00
14/07/2023,UPI/MERCHANT,432.00,,15412.00
18/07/2023,UPI/MERCHANT,58.00,,15354.00
22/07/2023,UPI/MERCHANT,199.00,,15155.00
26/07/2023,UPI/MERCHANT,160.00,,14995.00
02/09/2023,UPI/MERCHANT,334.00,,14661.00
03/09/2023,NEFT/UBER/SALARY,,15000.00,29661.00
05/09/2023,UPI/JIO PREPAID,299.00,,29362.00
06/09/2023,UPI/MERCHANT,337.00,,29025.00
10/09/2023,UPI/MERCHANT,165.00,,28860.00
11/09/2023,UPI/FAMILY TRANSFER,2845.00,,26015.00
14/09/2023,UPI/MERCHANT,320.00,,25695.00
18/09/2023,UPI/MERCHANT,385.00,,25310.00
22/09/2023,UPI/MERCHANT,257.00,,25053.00
26/09/2023,UPI/MERCHANT,233.00,,24820.00
02/11/2023,UPI/MERCHANT,345.00,,24475.00
03/11/2023,NEFT/UBER/SALARY,,15000.00,39475.00
05/11/2023,UPI/JIO PREPAID,299.00,,39176.00
06/11/2023,UPI/MERCHANT,54.00,,39122.00
10/11/2023,UPI/MERCHANT,245.00,,38877.00
11/11/2023,UPI/FAMILY TRANSFER,2025.00,,36852.00
14/11/2023,UPI/MERCHANT,411.00,,36441.00
18/11/2023,UPI/MERCHANT,294.00,,36147.00
22/11/2023,UPI/MERCHANT,187.00,,35960.00
26/11/2023,UPI/MERCHANT,452.00,,35508.00
02/01/2024,UPI/MERCHANT,152.00,,35356.00
04/01/2024,NEFT/UBER/SALARY,,15000.00,50356.00
05/01/2024,UPI/JIO PREPAID,299.00,,50057.00
06/01/2024,UPI/MERCHANT,264.00,,49793.00
10/01/2024,UPI/MERCHANT,278.00,,49515.00
11/01/2024,UPI/FAMILY TRANSFER,2628.00,,46887.00
14/01/2024,UPI/MERCHANT,206.00,,46681.00
18/01/2024,UPI/MERCHANT,303.00,,46378.00
22/01/2024,UPI/MERCHANT,438.00,,45940.00
26/01/2024,UPI/MERCHANT,362.00,,45578.00
02/03/2024,UPI/MERCHANT,485.00,,45093.00
03/03/2024,NEFT/UBER/SALARY,,15000.00,60093.00
05/03/2024,UPI/JIO PREPAID,299.00,,59794.00
06/03/2024,UPI/MERCHANT,406.00,,59388.00
10/03/2024,UPI/MERCHANT,108.00,,59280.00
11/03/2024,UPI/FAMILY TRANSFER,2904.00,,56376.00
14/03/2024,UPI/MERCHANT,230.00,,56146.00
18/03/2024,UPI/MERCHANT,443.00,,55703.00
22/03/2024,UPI/MERCHANT,492.00,,55211.00
26/03/2024,UPI/MERCHANT,336.00,,54875.00
02/05/2024,NEFT/UBER/SALARY,,15000.00,69875.00
02/05/2024,UPI/MERCHANT,439.00,,69436.00
05/05/2024,UPI/JIO PREPAID,299.00,,69137.00
06/05/2024,UPI/MERCHANT,453.00,,68684.00
10/05/2024,UPI/MERCHANT,86.00,,68598.00
11/05/2024,UPI/FAMILY TRANSFER,2413.00,,66185.00
14/05/2024,UPI/MERCHANT,333.00,,65852.00
18/05/2024,UPI/MERCHANT,77.00,,65775.00
22/05/2024,UPI/MERCHANT,133.00,,65642.00
26/05/2024,UPI/MERCHANT,238.00,,65404.00
