Date,Description,Debit,Credit,Balance
02/07/2023,UPI/POS,1480.00,,1520.00
06/07/2023,SALARY/ACME,,12500.00,14020.00
07/07/2023,UPI/POS,1151.00,,12869.00
11/07/2023,ATM CASH WDL,5000.00,,7869.00
12/07/2023,UPI/POS,611.00,,7258.00
17/07/2023,UPI/POS,940.00,,6318.00
02/09/2023,UPI/POS,1191.00,,5127.00
06/09/2023,SALARY/ACME,,12500.00,17627.00
07/09/2023,UPI/POS,1316.00,,16311.00
11/09/2023,ATM CASH WDL,5000.00,,11311.00
12/09/2023,UPI/POS,671.00,,10640.00
16/09/2023,ACH RETURN CHARGES,500.00,,10140.00
17/09/2023,UPI/POS,1496.00,,8644.00
02/11/2023,UPI/POS,719.00,,7925.00
07/11/2023,UPI/POS,735.00,,7190.00
11/11/2023,ATM CASH WDL,5000.00,,2190.00
12/11/2023,UPI/POS,752.00,,1438.00
17/11/2023,UPI/POS,1022.00,,416.00
02/01/2024,UPI/POS,742.00,,-326.00
06/01/2024,SALARY/ACME,,12500.00,12174.00
07/01/2024,UPI/POS,1368.00,,10806.00
11/01/2024,ATM CASH WDL,5000.00,,5806.00
12/01/2024,UPI/POS,1315.00,,4491.00
16/01/2024,ACH RETURN CHARGES,500.00,,3991.00
17/01/2024,UPI/POS,1389.00,,2602.00
21/01/2024,UPI/UNKNOWN,8000.00,,-5398.00
02/03/2024,UPI/POS,1446.00,,-6844.00
07/03/2024,UPI/POS,1498.00,,-8342.00
11/03/2024,ATM CASH WDL,5000.00,,-13342.00
12/03/2024,UPI/POS,1041.00,,-14383.00
17/03/2024,UPI/POS,583.00,,-14966.00
02/05/2024,UPI/POS,1489.00,,-16455.00
06/05/2024,SALARY/ACME,,12500.00,-3955.00
07/05/2024,UPI/POS,907.00,,-4862.00
11/05/2024,ATM CASH WDL,5000.00,,-9862.00
12/05/2024,UPI/POS,1237.00,,-11099.00
17/05/2024,UPI/POS,751.00,,-11850.00
