Date,Description,Debit,Credit,Balance
11/07/2023,UPI/SNACKS,50.00,,950.00
16/07/2023,UPI/SNACKS,50.00,,900.00
11/09/2023,UPI/SNACKS,50.00,,850.00
16/09/2023,UPI/SNACKS,50.00,,800.00
11/11/2023,UPI/SNACKS,50.00,,750.00
16/11/2023,UPI/SNACKS,50.00,,700.00
11/01/2024,UPI/SNACKS,50.00,,650.00
16/01/2024,UPI/SNACKS,50.00,,600.00
11/03/2024,UPI/SNACKS,50.00,,550.00
16/03/2024,UPI/SNACKS,50.00,,500.00
02/05/2024,UPI/MERCHANT,171.00,,329.00
03/05/2024,UPI/EXPENSE,1000.00,,-671.00
04/05/2024,UPI/MERCHANT,155.00,,-826.00
04/05/2024,UPI/INCOME,,2000.00,1174.00
06/05/2024,UPI/MERCHANT,60.00,,1114.00
06/05/2024,UPI/OUT,8000.00,,-6886.00
06/05/2024,UPI/EXPENSE,1000.00,,-7886.00
07/05/2024,UPI/IN,,7800.00,-86.00
07/05/2024,UPI/INCOME,,2000.00,1914.00
08/05/2024,UPI/MERCHANT,150.00,,1764.00
09/05/2024,UPI/EXPENSE,1000.00,,764.00
10/05/2024,UPI/OUT,8000.00,,-7236.00
10/05/2024,UPI/INCOME,,2000.00,-5236.00
10/05/2024,UPI/MERCHANT,104.00,,-5340.00
11/05/2024,UPI/IN,,7800.00,2460.00
12/05/2024,UPI/EXPENSE,1000.00,,1460.00
12/05/2024,UPI/MERCHANT,168.00,,1292.00
13/05/2024,UPI/INCOME,,2000.00,3292.00
14/05/2024,UPI/MERCHANT,116.00,,3176.00
14/05/2024,UPI/OUT,8000.00,,-4824.00
15/05/2024,UPI/EXPENSE,1000.00,,-5824.00
15/05/2024,UPI/IN,,7800.00,1976.00
16/05/2024,UPI/INCOME,,2000.00,3976.00
16/05/2024,UPI/MERCHANT,61.00,,3915.00
18/05/2024,UPI/EXPENSE,1000.00,,2915.00
18/05/2024,UPI/OUT,8000.00,,-5085.00
18/05/2024,UPI/MERCHANT,71.00,,-5156.00
19/05/2024,UPI/INCOME,,2000.00,-3156.00
19/05/2024,UPI/IN,,7800.00,4644.00
20/05/2024,UPI/MERCHANT,111.00,,4533.00
22/05/2024,UPI/MERCHANT,136.00,,4397.00
24/05/2024,UPI/MERCHANT,153.00,,4244.00
26/05/2024,UPI/MERCHANT,55.00,,4189.00
27/05/2024,NEFT/TRANSFER,,60000.00,64189.00
28/05/2024,UPI/MERCHANT,79.00,,64110.00
