Date,Description,Debit,Credit,Balance
02/07/2023,UPI/MERCHANT,148.00,,4352.00
03/07/2023,NEFT/UBER/SALARY,,15000.00,19352.00
05/07/2023,UPI/JIO PREPAID,299.00,,19053.00
06/07/2023,UPI/MERCHANT,248.00,,18805.00
10/07/2023,UPI/MERCHANT,242.00,,18563.00
11/07/2023,UPI/FAMILY TRANSFER,2903.00,,15660.00
14/07/2023,UPI/MERCHANT,193.00,,15467.00
18/07/2023,UPI/MERCHANT,336.00,,15131.00
22/07/2023,UPI/MERCHANT,479.00,,14652.00
26/07/2023,UPI/MERCHANT,188.00,,14464.00
01/09/2023,NEFT/UBER/SALARY,,15000.00,29464.00
02/09/2023,UPI/MERCHANT,225.00,,29239.00
05/09/2023,UPI/JIO PREPAID,299.00,,28940.00
06/09/2023,UPI/MERCHANT,393.00,,28547.00
10/09/2023,UPI/MERCHANT,284.00,,28263.00
11/09/2023,UPI/FAMILY TRANSFER,2278.00,,25985.00
14/09/2023,UPI/MERCHANT,444.00,,25541.00
18/09/2023,UPI/MERCHANT,357.00,,25184.00
22/09/2023,UPI/MERCHANT,134.00,,25050.00
26/09/2023,UPI/MERCHANT,445.00,,24605.00
01/11/2023,NEFT/UBER/SALARY,,15000.00,39605.00
02/11/2023,UPI/MERCHANT,55.00,,39550.00
05/11/2023,UPI/JIO PREPAID,299.00,,39251.00
06/11/2023,UPI/MERCHANT,137.00,,39114.00
10/11/2023,UPI/MERCHANT,364.00,,38750.00
11/11/2023,UPI/FAMILY TRANSFER,2302.00,,36448.00
14/11/2023,UPI/MERCHANT,272.00,,36176.00
18/11/2023,UPI/MERCHANT,117.00,,36059.00
22/11/2023,UPI/MERCHANT,304.00,,35755.00
26/11/2023,UPI/MERCHANT,201.00,,35554.00
02/01/2024,NEFT/UBER/SALARY,,15000.00,50554.00
02/01/2024,UPI/MERCHANT,51.00,,50503.00
05/01/2024,UPI/JIO PREPAID,299.00,,50204.00
06/01/2024,UPI/MERCHANT,154.00,,50050.00
10/01/2024,UPI/MERCHANT,355.00,,49695.00
11/01/2024,UPI/FAMILY TRANSFER,2033.00,,47662.00
14/01/2024,UPI/MERCHANT,80.00,,47582.00
18/01/2024,UPI/MERCHANT,188.00,,47394.00
22/01/2024,UPI/MERCHANT,51.00,,47343.00
26/01/2024,UPI/MERCHANT,70.00,,47273.00
02/03/2024,UPI/MERCHANT,273.00,,47000.00
03/03/2024,NEFT/UBER/SALARY,,15000.00,62000.00
05/03/2024,UPI/JIO PREPAID,299.00,,61701.00
06/03/2024,UPI/MERCHANT,456.00,,61245.00
10/03/2024,UPI/MERCHANT,367.00,,60878.00
11/03/2024,UPI/FAMILY TRANSFER,2701.00,,58177.00
14/03/2024,UPI/MERCHANT,293.00,,57884.00
18/03/2024,UPI/MERCHANT,371.00,,57513.00
22/03/2024,UPI/MERCHANT,59.00,,57454.00
26/03/2024,UPI/MERCHANT,320.00,,57134.00
02/05/2024,NEFT/UBER/SALARY,,15000.00,72134.00
02/05/2024,UPI/MERCHANT,212.00,,71922.00
05/05/2024,UPI/JIO PREPAID,299.00,,71623.00
06/05/2024,UPI/MERCHANT,181.00,,71442.00
10/05/2024,UPI/MERCHANT,280.00,,71162.00
11/05/2024,UPI/FAMILY TRANSFER,2469.00,,68693.00
14/05/2024,UPI/MERCHANT,238.00,,68455.00
18/05/2024,UPI/MERCHANT,390.00,,68065.00
22/05/2024,UPI/MERCHANT,173.00,,67892.00
26/05/2024,UPI/MERCHANT,466.00,,67426.00
